time,open,close,low,high,volume
1741824000,83680.12000000,83800.30000000,83610.35000000,83831.43000000,94.95785000
1741824300,83800.29000000,83666.00000000,83577.73000000,83800.30000000,147.98425000
1741824600,83665.99000000,83655.00000000,83621.59000000,83731.88000000,39.03069000
1741824900,83655.01000000,83591.73000000,83474.95000000,83670.35000000,93.61133000
1741825200,83591.73000000,83868.25000000,83591.72000000,83973.60000000,183.64990000
1741825500,83868.24000000,83705.61000000,83705.60000000,84000.00000000,119.10125000
1741825800,83705.60000000,83751.68000000,83589.76000000,83751.68000000,79.38201000
1741826100,83751.74000000,83813.73000000,83742.14000000,83964.87000000,114.63934000
1741826400,83813.73000000,83833.35000000,83809.98000000,83949.99000000,42.63896000
1741826700,83833.35000000,83597.16000000,83571.51000000,83838.79000000,135.20607000
1741827000,83597.17000000,83497.93000000,83473.10000000,83600.00000000,100.60573000
1741827300,83497.93000000,83444.88000000,83438.67000000,83581.80000000,43.44386000
1741827600,83444.89000000,83377.50000000,83312.92000000,83500.00000000,59.26615000
1741827900,83377.50000000,83554.65000000,83377.50000000,83595.58000000,47.01207000
1741828200,83554.64000000,83682.21000000,83536.38000000,83709.59000000,98.24578000
1741828500,83682.21000000,83625.23000000,83597.58000000,83784.17000000,95.34123000
1741828800,83625.22000000,83542.34000000,83505.83000000,83688.37000000,33.11436000
1741829100,83542.34000000,83634.98000000,83522.00000000,83709.22000000,65.08479000
1741829400,83634.99000000,83844.20000000,83634.99000000,83872.70000000,73.27239000
1741829700,83844.20000000,83711.58000000,83711.57000000,83844.20000000,46.54664000
1741830000,83711.57000000,83716.75000000,83690.84000000,83803.50000000,38.08584000
1741830300,83716.75000000,83885.52000000,83706.32000000,83897.04000000,99.10949000
1741830600,83885.53000000,84109.19000000,83885.12000000,84222.00000000,239.56657000
1741830900,84109.20000000,83919.68000000,83919.68000000,84109.20000000,55.81044000
1741831200,83919.69000000,84027.95000000,83880.39000000,84029.00000000,30.99833000
1741831500,84027.94000000,84164.50000000,84020.08000000,84336.33000000,108.10931000
1741831800,84164.49000000,84165.27000000,84090.90000000,84246.17000000,62.37521000
1741832100,84165.26000000,84025.64000000,84013.12000000,84165.26000000,41.19231000
1741832400,84025.52000000,83930.92000000,83895.19000000,84035.61000000,145.20142000
1741832700,83930.92000000,83956.52000000,83910.18000000,84074.21000000,68.04371000
1741833000,83956.52000000,83828.89000000,83822.66000000,84002.99000000,90.08428000
1741833300,83828.89000000,83854.76000000,83820.43000000,83932.76000000,55.05423000
1741833600,83854.77000000,83962.27000000,83835.55000000,84056.61000000,50.50668000
1741833900,83962.26000000,83923.00000000,83923.00000000,84072.88000000,46.82755000
1741834200,83923.01000000,83878.47000000,83872.75000000,83985.06000000,40.87519000
1741834500,83878.47000000,83785.58000000,83743.14000000,83938.08000000,163.07365000
1741834800,83785.59000000,83813.81000000,83785.59000000,83905.50000000,42.72750000
1741835100,83813.80000000,83831.91000000,83730.40000000,83883.99000000,85.66424000
1741835400,83831.91000000,83975.19000000,83831.91000000,84000.00000000,90.98590000
1741835700,83975.20000000,84108.41000000,83975.19000000,84125.00000000,40.51925000
